學年,學期,系所名稱,年級,課號,班別,課名,主要教師,選課人數,考試日期,考試時間,教室,備註
107,1,300 工學院          ,1,EG503,A,研究方法與論文寫作,王孝憲,6,2019/1/8,09:10 ~ 12:00,2620,上課
107,1,300 工學院          ,2,EG203,A,M世代資料搜尋與應用,黃麗芬,13,不考, ~ ,,不上課
107,1,302 機械系          ,1,ME215,B,工場實習,何旭川,55,不考, ~ ,,不考
107,1,302 機械系          ,1,ME215,A,工場實習,何旭川,55,不考, ~ ,,不考
107,1,302 機械系          ,1,ME123,A,基礎程式設計實驗（一）,楊大中,73,2019/1/7,09:10 ~ 12:00,3211,電腦教室
107,1,302 機械系          ,1,ME119,B,工程圖學,邱傳聖,58,2019/1/7,14:10 ~ 15:40,5006,電腦教室
107,1,302 機械系          ,1,ME120,B,微積分,江右君,55,2019/1/8,10:10 ~ 12:00,3103,"2班合考70人2間,ME120A.B合考"
107,1,302 機械系          ,1,ME120,A,微積分,江右君,66,2019/1/8,10:10 ~ 12:00,3101,"2班合考70人2間,ME120A.B合考"
107,1,302 機械系          ,1,ME123,B,基礎程式設計實驗（一）,陳傳生,59,2019/1/8,13:10 ~ 14:00,3112,
107,1,302 機械系          ,1,ME119,A,工程圖學,邱傳聖,59,2019/1/8,14:10 ~ 15:40,5006,"電腦教室,2班合考80人2間,ME119A.DE211A合考"
107,1,302 機械系          ,1,ME121,B,機械工程概論,徐澤志,66,2019/1/11,12:00 ~ 13:00,3101,"2班合考,80人2間,ME121A.B合考"
107,1,302 機械系          ,1,ME121,A,機械工程概論,徐澤志,64,2019/1/11,12:00 ~ 13:00,3102,"2班合考,80人2間,ME121A.B合考"
107,1,302 機械系          ,2,ME209,B,熱力學,鐘國濱,72,2019/1/7,10:10 ~ 12:00,70105,與DE213A合考
107,1,302 機械系          ,2,ME201,A,工程數學,林育才,62,2019/1/8,10:10 ~ 12:00,3104,
107,1,302 機械系          ,2,ME117,B,普通物理,楊大中,60,2019/1/8,13:10 ~ 16:00,3114,
107,1,302 機械系          ,2,ME475,A,機械畫,陳永樹,63,2019/1/8,13:10 ~ 15:00,3211,電腦教室
107,1,302 機械系          ,2,ME201,B,工程數學,陳永樹,95,2019/1/9,10:10 ~ 12:00,3110,與DE212A合考
107,1,302 機械系          ,2,ME475,B,機械畫,陳永樹,65,2019/1/9,13:10 ~ 14:00,3107,"筆試,3班合考80人2間,ME475AB.DE214A合考"
107,1,302 機械系          ,2,ME475,A,機械畫,陳永樹,63,2019/1/9,13:10 ~ 14:00,3105,"筆試,3班合考80人2間,ME475AB.DE214A合考"
107,1,302 機械系          ,2,ME117,A,普通物理,余念一,54,2019/1/9,14:10 ~ 16:00,3208,
107,1,302 機械系          ,2,ME475,B,機械畫,陳永樹,65,2019/1/9,14:10 ~ 16:00,3211,"電腦教室,2班合考80人2間,ME475B.DE214A合考"
107,1,302 機械系          ,2,ME303,A,機械製造,李碩仁,83,2019/1/10,10:10 ~ 12:00,3110,
107,1,302 機械系          ,2,ME303,B,機械製造,李碩仁,50,2019/1/10,14:10 ~ 16:00,3208,"2班合考85人3間,ME303B、DE215A合考"
107,1,302 機械系          ,2,ME209,A,熱力學,林育才,65,2019/1/11,10:10 ~ 12:00,3112,
107,1,302 機械系          ,3,ME350,A,實驗（三）: 生醫機械系統,辛和宗,31,不考, ~ ,,不考
107,1,302 機械系          ,3,ME351,B,實驗（四）: 量測與儀器,李其源,30,不考, ~ ,,不考
107,1,302 機械系          ,3,ME351,A,實驗（四）: 量測與儀器,李其源,30,不考, ~ ,,不考
107,1,302 機械系          ,3,ME352,A,實驗（五）: 綠色能源,黃振銘,31,不考, ~ ,,不考
107,1,302 機械系          ,3,ME345,A,數值分析,王謹誠,22,2019/1/7,10:10 ~ 12:00,3105,
107,1,302 機械系          ,3,ME349,A,實驗（二）: 流力與熱傳,蘇艾,30,2019/1/7,10:10 ~ 12:00,3214,
107,1,302 機械系          ,3,ME224,B,電路及電子學,吳昌暉,73,2019/1/7,13:10 ~ 15:00,3103,
107,1,302 機械系          ,3,ME214,A,應用力學動力,楊大中,65,2019/1/8,09:10 ~ 12:00,3114,
107,1,302 機械系          ,3,ME305,B,流體力學,王謹誠,55,2019/1/8,10:10 ~ 12:00,3107,
107,1,302 機械系          ,3,ME224,A,電路及電子學,謝建興,42,2019/1/8,13:10 ~ 15:00,3103,
107,1,302 機械系          ,3,ME348,A,實驗（一）: 材料與固力,何旭川,20,2019/1/8,13:10 ~ 15:00,3207,
